"品种代码","交易日期","今收盘","交割结算价"
SF803,2018-01-03,"6,888.00",0.00
SF803,2018-01-04,"6,738.00",0.00
SF803,2018-01-05,"6,710.00",0.00
SF803,2018-01-08,"6,702.00",0.00
SF803,2018-01-09,"6,764.00",0.00
SF803,2018-01-10,"6,830.00",0.00
SF803,2018-01-11,0.00,0.00
SF803,2018-01-12,0.00,0.00
SF803,2018-01-15,0.00,0.00
SF803,2018-01-16,"6,952.00",0.00
SF803,2018-01-17,"6,952.00",0.00
SF803,2018-01-18,0.00,0.00
SF803,2018-01-19,0.00,0.00
SF803,2018-01-22,0.00,0.00
SF803,2018-01-23,"7,200.00",0.00
SF803,2018-01-24,"7,300.00",0.00
SF803,2018-01-25,0.00,0.00
SF803,2018-01-26,0.00,0.00
SF803,2018-01-29,"7,206.00",0.00
SF803,2018-01-30,"7,238.00",0.00
SF803,2018-01-31,"7,186.00",0.00
SF803,2018-02-01,"7,188.00",0.00
SF803,2018-02-02,"7,150.00",0.00
SF803,2018-02-05,0.00,0.00
SF803,2018-02-06,0.00,0.00
SF803,2018-02-07,0.00,0.00
SF803,2018-02-08,"7,100.00",0.00
SF803,2018-02-09,"7,080.00",0.00
SF803,2018-02-12,"7,066.00",0.00
SF803,2018-02-13,0.00,0.00
SF803,2018-02-14,0.00,0.00
SF803,2018-02-22,"7,004.00",0.00
SF803,2018-02-23,"7,142.00",0.00
SF803,2018-02-26,"6,712.00",0.00
SF803,2018-02-27,"6,522.00",0.00
SF803,2018-02-28,"6,502.00",0.00
SF803,2018-03-01,0.00,"6,914.00"
SF803,2018-03-02,"6,510.00","6,854.00"
SF803,2018-03-05,0.00,"6,784.00"
SF803,2018-03-06,0.00,"6,712.00"
SF803,2018-03-07,0.00,"6,616.00"
SF803,2018-03-08,0.00,"6,520.00"
SF803,2018-03-09,0.00,"6,410.00"
SF803,2018-03-12,0.00,"6,338.00"
SF803,2018-03-13,0.00,"6,288.00"
SF803,2018-03-14,0.00,"6,238.00"
